Date,Traditional,Roth,Automatic_1,Matching,Total,L INC SHARES,L 2025 SHARES,L 2030 SHARES,L 2035 SHARES,L 2040 SHARES,L 2045 SHARES,L 2050 SHARES,L 2055 SHARES,L 2060 SHARES,L 2065 SHARES,G FUND SHARES,F FUND SHARES,C FUND SHARES,S FUND SHARES,I FUND SHARES
5/30/2019,50.69,0,16.9,50.69,118.28,0,0,0,0,0,0,5.9285,0,0,0,0,0,0,0,0
6/13/2019,50.69,0,16.9,50.69,118.28,0,0,0,0,0,0,5.7586,0,0,0,0,0,0,0,0
6/27/2019,50.69,0,16.9,50.69,118.28,0,0,0,0,0,0,5.6912,0,0,0,0,0,0,0,0
7/11/2019,50.69,0,16.9,50.69,118.28,0,0,0,0,0,0,5.613,0,0,0,0,0,0,0,0
7/25/2019,50.69,0,16.9,50.69,118.28,0,0,0,0,0,0,5.602,0,0,0,0,0,0,0,0
8/8/2019,50.69,0,16.9,50.69,118.28,0,0,0,0,0,0,5.7178,0,0,0,0,0,0,0,0
8/22/2019,25.34,0,8.45,25.34,59.13,0,0,0,0,0,0,2.8739,0,0,0,0,0,0,0,0
1/9/2020,35.48,0,11.83,35.48,82.79,0,0,0,0,0,0,3.6572,0,0,0,0,0,0,0,0
1/23/2020,26.24,0,8.75,26.24,61.23,0,0,0,0,0,0,2.6793,0,0,0,0,0,0,0,0
6/11/2020,26.24,0,8.75,26.24,61.23,0,0,0,0,0,0,2.9229,0,0,0,0,0,0,0,0
6/25/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,10.1376,0,0,0,0,0,0,0,0
7/9/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.9866,0,0,0,0,0,0,0,0
7/23/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.7313,0,0,0,0,0,0,0,0
8/6/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.5461,0,0,0,0,0,0,0,0
8/20/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.4515,0,0,0,0,0,0,0,0
9/3/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.3631,0,0,0,0,0,0,0,0
9/17/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.4462,0,0,0,0,0,0,0,0
10/1/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.4597,0,0,0,0,0,0,0,0
10/15/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,9.2597,0,0,0,0,0,0,0,0
10/29/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,2.408,0,0,0,0,0,3.3185,0,0
11/12/2020,93.14,0,31.05,93.14,217.33,0,0,0,0,0,0,2.2484,0,0,0,0,0,3.1029,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
